palabra,estado,información
αἰτοῦμαι,pendiente,
αἰτοῦντί,pendiente,
αἰτοῦντι,pendiente,
αἰτοῦσά,pendiente,
αἰτοῦσιν,pendiente,
αἰτώμεθα,pendiente,
αἰτῆσαι,pendiente,
αἰτῶμεν,pendiente,
αἰτῶν,pendiente,
αἰφνίδιος,pendiente,
αἰχμαλωσίαν,pendiente,
αἰχμαλωτίζοντά,pendiente,
αἰχμαλωτίζοντες,pendiente,
αἰχμαλωτισθήσονται,pendiente,
αἰχμαλώτοις,pendiente,
αἰωνίαν,pendiente,
αἰωνίοις,pendiente,
αἰωνίου,pendiente,
αἰωνίους,pendiente,
αἰωνίων,pendiente,
αἰώνια,pendiente,
αἰώνιον,pendiente,
αἰώνιος,pendiente,
αἰώνιός,pendiente,
αἰώνων,pendiente,
αἰῶνα,pendiente,
αἰῶνας,pendiente,
αἰῶνι,pendiente,
αἰῶνος,pendiente,
αἰῶνός,pendiente,
αἰῶσιν,pendiente,
αἱ,pendiente,
αἱμάτων,pendiente,
αἱματεκχυσίας,pendiente,
αἱμορροοῦσα,pendiente,
αἱρέσεις,pendiente,
αἱρέσεως,pendiente,
αἱρήσομαι,pendiente,
αἱρετικὸν,pendiente,
αἳ,pendiente,
αἴγυπτον,pendiente,
αἴγυπτος,pendiente,
αἴρει,pendiente,
αἴρεις,pendiente,
αἴρεται,pendiente,
αἴρετε,pendiente,
αἴροντος,pendiente,
αἴροντός,pendiente,
αἴρων,pendiente,
αἴρωσιν,pendiente,
αἴσθωνται,pendiente,
αἴτημα,pendiente,
αἴτησόν,pendiente,
αἴτιον,pendiente,
αἴτιος,pendiente,
αἵ,pendiente,
αἵματί,pendiente,
αἵματι,pendiente,
αἵματος,pendiente,
αἵματός,pendiente,
αἵρεσιν,pendiente,
αἵρεσις,pendiente,
αἵτινες,pendiente,
αἶνον,pendiente,
αἶρε,pendiente,
αἷμά,pendiente,
αἷμα,pendiente,
αἷς,pendiente,
αὐγάσαι,pendiente,
αὐγούστου,pendiente,
αὐγῆς,pendiente,
αὐθάδεις,pendiente,
αὐθάδη,pendiente,
αὐθαίρετοι,pendiente,
αὐθαίρετος,pendiente,
αὐθεντεῖν,pendiente,
αὐλήν,pendiente,
αὐλητὰς,pendiente,
αὐλητῶν,pendiente,
αὐλούμενον,pendiente,
αὐλὴν,pendiente,
αὐλὸς,pendiente,
αὐλῆς,pendiente,
αὐλῇ,pendiente,
αὐξάνει,pendiente,
αὐξάνειν,pendiente,
αὐξάνετε,pendiente,
αὐξάνουσιν,pendiente,
αὐξάνων,pendiente,
αὐξήσει,pendiente,
αὐξήσωμεν,pendiente,
αὐξανομένης,pendiente,
αὐξανόμενα,pendiente,
αὐξανόμενοι,pendiente,
αὐξανόμενον,pendiente,
αὐξηθῆτε,pendiente,
αὐξηθῇ,pendiente,
αὐστηρός,pendiente,
αὐστηρὸς,pendiente,
αὐτά,pendiente,
αὐτάρκειαν,pendiente,
αὐτάρκης,pendiente,
αὐτάς,pendiente,
αὐτήν,pendiente,
αὐταρκείας,pendiente,
αὐταῖς,pendiente,
αὐτοί,pendiente,
αὐτοκατάκριτος,pendiente,
αὐτομάτη,pendiente,
αὐτοφώρῳ,pendiente,
αὐτούς,pendiente,
αὐτοὶ,pendiente,
αὐτοὺς,pendiente,
αὐτοῖς,pendiente,
αὐτοῦ,pendiente,
αὐτό,pendiente,
αὐτόν,pendiente,
αὐτόπται,pendiente,
αὐτός,pendiente,
αὐτόχειρες,pendiente,
αὐτὰ,pendiente,
αὐτὰς,pendiente,
αὐτὴ,pendiente,
αὐτὴν,pendiente,
αὐτὸ,pendiente,
αὐτὸν,pendiente,
αὐτὸς,pendiente,
αὐτῆς,pendiente,
αὐτῇ,pendiente,
αὐτῶν,pendiente,
αὐτῷ,pendiente,
αὐχεῖ,pendiente,
αὐχμηρῷ,pendiente,
αὔξει,pendiente,
αὔξησιν,pendiente,
αὔριον,pendiente,
αὕτη,pendiente,
αὗταί,pendiente,
αὗται,pendiente,
βάαλ,pendiente,
βάθη,pendiente,
βάθος,pendiente,
βάθους,pendiente,
βάλε,pendiente,
βάλετε,pendiente,
βάλητε,pendiente,
βάλλει,pendiente,
βάλλειν,pendiente,
βάλλεται,pendiente,
βάλλομεν,pendiente,
βάλλοντας,pendiente,
βάλλοντες,pendiente,
βάλλουσαν,pendiente,
βάλλουσιν,pendiente,
βάλλω,pendiente,
βάλω,pendiente,
βάλωσιν,pendiente,
βάλῃ,pendiente,
βάπτισαι,pendiente,
βάπτισμα,pendiente,
βάρβαροι,pendiente,
βάρβαρος,pendiente,
βάρει,pendiente,
βάρη,pendiente,
βάρος,pendiente,
βάσεις,pendiente,
βάτου,pendiente,
βάτους,pendiente,
βάτραχοι,pendiente,
βάτῳ,pendiente,
βάψας,pendiente,
βάψω,pendiente,
βάψῃ,pendiente,
βέβαιος,pendiente,
βέβηλος,pendiente,
βέβληται,pendiente,
βέλη,pendiente,
βέλτιον,pendiente,
βέροιαν,pendiente,
βήματι,pendiente,
βήματος,pendiente,
βήρυλλος,pendiente,
βίαν,pendiente,
βίας,pendiente,
βίβλος,pendiente,
βίβλου,pendiente,
βίβλους,pendiente,
βίβλῳ,pendiente,
βίον,pendiente,
βίου,pendiente,
βίωσίν,pendiente,
βαΐα,pendiente,
βαβυλὼν,pendiente,
βαβυλῶνι,pendiente,
βαβυλῶνος,pendiente,
βαθέα,pendiente,
βαθέως,pendiente,
βαθεῖ,pendiente,
βαθμὸν,pendiente,
βαθύ,pendiente,
βαλέτω,pendiente,
βαλαάμ,pendiente,
βαλαὰμ,pendiente,
βαλεῖ,pendiente,
βαλεῖν,pendiente,
βαλλάντια,pendiente,
βαλλάντιον,pendiente,
βαλλαντίου,pendiente,
βαλλόμενα,pendiente,
βαλλόμενον,pendiente,
βαλλόντων,pendiente,
βαλοῦσα,pendiente,
βαλοῦσιν,pendiente,
βαλὰκ,pendiente,
βαπτίζει,pendiente,
βαπτίζειν,pendiente,
βαπτίζεις,pendiente,
βαπτίζομαι,pendiente,
βαπτίζονται,pendiente,
βαπτίζοντες,pendiente,
βαπτίζοντος,pendiente,
βαπτίζω,pendiente,
βαπτίζων,pendiente,
βαπτίσει,pendiente,
βαπτίσματος,pendiente,
βαπτίσωνται,pendiente,
βαπτιζόμενοι,pendiente,
βαπτισθέντες,pendiente,
βαπτισθέντος,pendiente,
βαπτισθήσεσθε,pendiente,
βαπτισθήτω,pendiente,
βαπτισθεὶς,pendiente,
βαπτισθῆναι,pendiente,
βαπτισμοὺς,pendiente,
βαπτισμοῖς,pendiente,
βαπτισμῶν,pendiente,
βαπτισμῷ,pendiente,
βαπτιστήν,pendiente,
βαπτιστής,pendiente,
βαπτιστοῦ,pendiente,
βαπτιστὴς,pendiente,
βαράκ,pendiente,
βαρέα,pendiente,
βαρέως,pendiente,
βαραββᾶν,pendiente,
βαραββᾶς,pendiente,
βαραχίου,pendiente,
βαρβάροις,pendiente,
βαρείσθω,pendiente,
βαρεῖαι,pendiente,
βαρεῖς,pendiente,
βαρηθῶσιν,pendiente,
βαρθολομαῖον,pendiente,
βαρθολομαῖος,pendiente,
βαριησοῦ,pendiente,
βαριωνᾶ,pendiente,
βαρναβᾶ,pendiente,
βαρναβᾶν,pendiente,
βαρναβᾶς,pendiente,
βαρναβᾷ,pendiente,
βαρούμενοι,pendiente,
βαρσαββᾶν,pendiente,
βαρτιμαῖος,pendiente,
βαρυτίμου,pendiente,
βαρύτερα,pendiente,
βασάνοις,pendiente,
βασάνου,pendiente,
βασίλειον,pendiente,
βασίλισσα,pendiente,
βασανίσαι,pendiente,
βασανίσῃς,pendiente,
βασανιζομένη,pendiente,
βασανιζομένους,pendiente,
βασανιζόμενον,pendiente,
βασανιζόμενος,pendiente,
βασανισθήσεται,pendiente,
βασανισθήσονται,pendiente,
βασανισμοῦ,pendiente,
βασανισμὸν,pendiente,
βασανισμὸς,pendiente,
βασανισταῖς,pendiente,
βασιλέα,pendiente,
βασιλέων,pendiente,
βασιλέως,pendiente,
βασιλίσσης,pendiente,
βασιλεία,pendiente,
βασιλείαν,pendiente,
βασιλείας,pendiente,
βασιλείοις,pendiente,
βασιλείᾳ,pendiente,
βασιλευέτω,pendiente,
βασιλευόντων,pendiente,
βασιλεύει,pendiente,
βασιλεύειν,pendiente,
βασιλεύς,pendiente,
βασιλεύσει,pendiente,
βασιλεύσουσιν,pendiente,
βασιλεύσῃ,pendiente,
βασιλεὺς,pendiente,
βασιλεῖ,pendiente,
βασιλεῖς,pendiente,
βασιλεῦ,pendiente,
βασιλεῦσαι,pendiente,
βασιλεῦσιν,pendiente,
βασιλικός,pendiente,
βασιλικὴν,pendiente,
βασιλικὸν,pendiente,
βασιλικὸς,pendiente,
βασιλικῆς,pendiente,
βαστάζει,pendiente,
βαστάζειν,pendiente,
βαστάζεις,pendiente,
βαστάζεσθαι,pendiente,
βαστάζετε,pendiente,
βαστάζοντες,pendiente,
βαστάζοντος,pendiente,
βαστάζω,pendiente,
βαστάζων,pendiente,
βαστάσαι,pendiente,
βαστάσασά,pendiente,
βαστάσασιν,pendiente,
βαστάσει,pendiente,
βατταλογήσητε,pendiente,
βδέλυγμα,pendiente,
βδελυγμάτων,pendiente,
βδελυκτοὶ,pendiente,
βδελυσσόμενος,pendiente,
βεβήλοις,pendiente,
βεβήλους,pendiente,
βεβαία,pendiente,
βεβαίαν,pendiente,
βεβαίωσιν,pendiente,
βεβαιούμενοι,pendiente,
βεβαιοῦντος,pendiente,
βεβαιοῦσθαι,pendiente,
βεβαιότερον,pendiente,
βεβαιώσει,pendiente,
βεβαιῶν,pendiente,
βεβαιῶσαι,pendiente,
βεβαμμένον,pendiente,
βεβαπτισμένοι,pendiente,
βεβαρημένοι,pendiente,
βεβηλοῦσιν,pendiente,
βεβηλῶσαι,pendiente,
βεβληκότος,pendiente,
βεβλημένην,pendiente,
βεβλημένον,pendiente,
βεβλημένος,pendiente,
βεβρωκόσιν,pendiente,
βεελζεβοὺλ,pendiente,
βελιάρ,pendiente,
βελόνης,pendiente,
βενιαμίν,pendiente,
βενιαμὶν,pendiente,
βερνίκη,pendiente,
βερνίκης,pendiente,
βεροίᾳ,pendiente,
βεροιαῖος,pendiente,
βηθανία,pendiente,
βηθανίαν,pendiente,
βηθανίας,pendiente,
βηθανίᾳ,pendiente,
βηθζαθὰ,pendiente,
βηθλέεμ,pendiente,
βηθσαϊδά,pendiente,
βηθσαϊδάν,pendiente,
βηθσαϊδὰ,pendiente,
βηθφαγὴ,pendiente,
βιάζεται,pendiente,
βιαίας,pendiente,
βιασταὶ,pendiente,
βιβλία,pendiente,
βιβλίοις,pendiente,
βιβλίον,pendiente,
βιβλίου,pendiente,
βιβλίῳ,pendiente,
βιβλαρίδιον,pendiente,
βιθυνίαν,pendiente,
βιθυνίας,pendiente,
βιωτικά,pendiente,
βιωτικαῖς,pendiente,
βιωτικὰ,pendiente,
βιῶσαι,pendiente,
βλάστον,pendiente,
βλάσφημα,pendiente,
βλάσφημοι,pendiente,
βλάσφημον,pendiente,
βλάψαν,pendiente,
βλάψῃ,pendiente,
βλέμματι,pendiente,
βλέπε,pendiente,
βλέπει,pendiente,
βλέπειν,pendiente,
βλέπεις,pendiente,
βλέπετε,pendiente,
βλέπομεν,pendiente,
βλέποντα,pendiente,
βλέποντας,pendiente,
βλέποντες,pendiente,
βλέπουσιν,pendiente,
βλέπω,pendiente,
βλέπων,pendiente,
βλέπωσιν,pendiente,
βλέπῃ,pendiente,
βλέπῃς,pendiente,
βλέψετε,pendiente,
βλέψον,pendiente,
βλήθητι,pendiente,
βλαβεράς,pendiente,
βλαστήσασα,pendiente,
βλαστᾷ,pendiente,
βλασφημήσαντι,pendiente,
βλασφημήσωσιν,pendiente,
βλασφημήσῃ,pendiente,
βλασφημία,pendiente,
βλασφημίαι,pendiente,
βλασφημίαν,pendiente,
βλασφημίας,pendiente,
βλασφημείσθω,pendiente,
βλασφημεῖ,pendiente,
βλασφημεῖν,pendiente,
βλασφημεῖς,pendiente,
βλασφημεῖται,pendiente,
βλασφημηθήσεται,pendiente,
βλασφημούμεθα,pendiente,
βλασφημούντων,pendiente,
βλασφημοῦμαι,pendiente,
βλασφημοῦντας,pendiente,
βλασφημοῦντες,pendiente,
βλασφημοῦσιν,pendiente,
βλασφημῆσαι,pendiente,
βλασφημῆται,pendiente,
βλεπέτω,pendiente,
βλεπομένη,pendiente,
βλεπομένων,pendiente,
βλεπόμενα,pendiente,
βλεπόμενον,pendiente,
βλεπόντων,pendiente,
βληθήσεται,pendiente,
βληθήσῃ,pendiente,
βληθείσῃ,pendiente,
βληθεὶς,pendiente,
βληθὲν,pendiente,
βληθῆναι,pendiente,
βληθῇ,pendiente,
βλητέον,pendiente,
βοήθει,pendiente,
βοήθειαν,pendiente,
βοήθησον,pendiente,
βοανηργές,pendiente,
βοαὶ,pendiente,
βοηθείαις,pendiente,
βοηθεῖτε,pendiente,
βοηθός,pendiente,
βοηθῆσαι,pendiente,
βολίσαντες,pendiente,
βολὴν,pendiente,
βορβόρου,pendiente,
βορρᾶ,pendiente,
βοσκομένη,pendiente,
βοσὸρ,pendiente,
βοτάνην,pendiente,
βουλή,pendiente,
βουλήματι,pendiente,
βουλήματος,pendiente,
βουλευτής,pendiente,
βουλευτὴς,pendiente,
βουλεύομαι,pendiente,
βουλεύσεται,pendiente,
βουληθεὶς,pendiente,
βουληθῇ,pendiente,
βουλομένου,pendiente,
βουλομένους,pendiente,
βουλόμεθα,pendiente,
βουλόμενοι,pendiente,
βουλόμενος,pendiente,
βουλόμενός,pendiente,
βουλὰς,pendiente,
βουλὴ,pendiente,
βουλὴν,pendiente,
βουλῆς,pendiente,
βουλῇ,pendiente,
βουνοῖς,pendiente,
βουνὸς,pendiente,
βούλει,pendiente,
βούλεσθε,pendiente,
βούλεται,pendiente,
βούλημα,pendiente,
βούληται,pendiente,
βούλοιτο,pendiente,
βούλομαί,pendiente,
βούλομαι,pendiente,
βοώντων,pendiente,
βοῦν,pendiente,
βοῦς,pendiente,
βοῶν,pendiente,
βοῶντα,pendiente,
βοῶντες,pendiente,
βοῶντος,pendiente,
βρέξαι,pendiente,
βρέφη,pendiente,
βρέφος,pendiente,
βρέφους,pendiente,
βρέχει,pendiente,
βρέχειν,pendiente,
βρέχῃ,pendiente,
βραβευέτω,pendiente,
βραβεῖον,pendiente,
βραδεῖς,pendiente,
βραδυπλοοῦντες,pendiente,
βραδύνει,pendiente,
βραδύνω,pendiente,
βραδύτητα,pendiente,
βραδὺς,pendiente,
βραχέων,pendiente,
βραχίονι,pendiente,
βραχίονος,pendiente,
βραχίων,pendiente,
βραχύ,pendiente,
βραχὺ,pendiente,
βρονταί,pendiente,
βρονταὶ,pendiente,
βροντὴν,pendiente,
βροντῆς,pendiente,
βροντῶν,pendiente,
βροχὴ,pendiente,
βρυγμὸς,pendiente,
βρωμάτων,pendiente,
βρόχον,pendiente,
βρύει,pendiente,
βρώμασιν,pendiente,
βρώματί,pendiente,
βρώματα,pendiente,
βρώματος,pendiente,
βρώσει,pendiente,
βρώσεως,pendiente,
βρώσιμον,pendiente,
βρῶμά,pendiente,
βρῶμα,pendiente,
βρῶσιν,pendiente,
βρῶσις,pendiente,
βυθίζεσθαι,pendiente,
βυθίζουσιν,pendiente,
βυθῷ,pendiente,
βυρσέως,pendiente,
βυρσεῖ,pendiente,
βυσσίνου,pendiente,
βωμὸν,pendiente,
βόας,pendiente,
βόες,pendiente,
βόησον,pendiente,
βόθυνον,pendiente,
βόος,pendiente,
βόσκε,pendiente,
βόσκειν,pendiente,
βόσκοντες,pendiente,
βότρυας,pendiente,
βύσσινον,pendiente,
βύσσον,pendiente,
βῆμα,pendiente,
γάγγραινα,pendiente,
γάζαν,pendiente,
γάζης,pendiente,
γάλα,pendiente,
γάλακτος,pendiente,
γάμον,pendiente,
γάμος,pendiente,
γάμου,pendiente,
γάμους,pendiente,
γάμων,pendiente,
γάρ,pendiente,
γάϊον,pendiente,
γάϊος,pendiente,
γέγονα,pendiente,
γέγοναν,pendiente,
γέγονας,pendiente,
γέγονεν,pendiente,
γέγραπται,pendiente,
γέγραφα,pendiente,
γέενναν,pendiente,
γέλως,pendiente,
γέμει,pendiente,
γέμον,pendiente,
γέμοντα,pendiente,
γέμουσιν,pendiente,
γένει,pendiente,
γένεσις,pendiente,
γένη,pendiente,
γένησθε,pendiente,
γένηταί,pendiente,
γένηται,pendiente,
γένοιτο,pendiente,
γένοιτό,pendiente,
γένος,pendiente,
γένους,pendiente,
γένωμαι,pendiente,
γένωνται,pendiente,
γέρων,pendiente,
γήμας,pendiente,
γήμῃ,pendiente,
γήρει,pendiente,
γίνεσθαι,pendiente,
γίνεσθε,pendiente,
γίνεται,pendiente,
γίνου,pendiente,
γίνωνται,pendiente,
γίνωσκε,pendiente,
γαΐῳ,pendiente,
γαββαθα,pendiente,
γαβριὴλ,pendiente,
γαδαρηνῶν,pendiente,
γαζοφυλάκιον,pendiente,
γαζοφυλακίου,pendiente,
γαζοφυλακίῳ,pendiente,
γαλάται,pendiente,
γαλήνη,pendiente,
γαλατίαν,pendiente,
γαλατίας,pendiente,
γαλατικὴν,pendiente,
γαλιλαία,pendiente,
γαλιλαίαν,pendiente,
γαλιλαίας,pendiente,
γαλιλαίου,pendiente,
γαλιλαίους,pendiente,
γαλιλαίων,pendiente,
γαλιλαίᾳ,pendiente,
γαλιλαῖοι,pendiente,
γαλιλαῖος,pendiente,
γαλιλαῖός,pendiente,
γαλλίων,pendiente,
γαλλίωνι,pendiente,
γαλλίωνος,pendiente,
γαμήσας,pendiente,
γαμήσασα,pendiente,
γαμήσῃ,pendiente,
γαμήσῃς,pendiente,
γαμίζονται,pendiente,
γαμίζοντες,pendiente,
γαμίζων,pendiente,
γαμίσκονται,pendiente,
γαμαλιήλ,pendiente,
γαμαλιὴλ,pendiente,
γαμείτωσαν,pendiente,
γαμεῖν,pendiente,
γαμηθῆναι,pendiente,
γαμησάτωσαν,pendiente,
γαμοῦντες,pendiente,
γαμοῦσιν,pendiente,
γαμῆσαι,pendiente,
γαμῶν,pendiente,
γαστέρες,pendiente,
γαστρὶ,pendiente,
γε,pendiente,
γεέννης,pendiente,
γεέννῃ,pendiente,
γείτονας,pendiente,
γείτονες,pendiente,
γεγέννηκά,pendiente,
γεγέννημαι,pendiente,
γεγέννηται,pendiente,
γεγαμηκόσιν,pendiente,
γεγενημένον,pendiente,
γεγεννήμεθα,pendiente,
γεγεννημένα,pendiente,
γεγεννημένον,pendiente,
γεγεννημένος,pendiente,
γεγεννημένου,pendiente,
γεγενῆσθαι,pendiente,
γεγονέναι,pendiente,
γεγονυῖα,pendiente,
γεγονός,pendiente,
γεγονότας,pendiente,
γεγονότες,pendiente,
γεγονότι,pendiente,
γεγονὸς,pendiente,
γεγονὼς,pendiente,
γεγραμμένα,pendiente,
γεγραμμένας,pendiente,
γεγραμμένην,pendiente,
γεγραμμένοι,pendiente,
γεγραμμένοις,pendiente,
γεγραμμένον,pendiente,
γεγραμμένος,pendiente,
γεγραμμένων,pendiente,
γεγυμνασμένα,pendiente,
γεγυμνασμένην,pendiente,
γεγυμνασμένοις,pendiente,
γεγόναμεν,pendiente,
γεγόνασιν,pendiente,
γεγόνατε,pendiente,
γεγόνει,pendiente,
γεδεών,pendiente,
γεθσημανὶ,pendiente,
γελάσετε,pendiente,
γελῶντες,pendiente,
γεμίζεσθαι,pendiente,
γεμίσας,pendiente,
γεμίσατε,pendiente,
γεμισθῇ,pendiente,
γεμούσας,pendiente,
γεμόντων,pendiente,
γενέσει,pendiente,
γενέσεως,pendiente,
γενέσθαι,pendiente,
γενέσθω,pendiente,
γενήθητε,pendiente,
γενήματα,pendiente,
γενήματος,pendiente,
γενήσεσθε,pendiente,
γενήσεται,pendiente,
γενήσονται,pendiente,
γενεαί,pendiente,
γενεαλογίαις,pendiente,
γενεαλογίας,pendiente,
γενεαλογούμενος,pendiente,
γενεαὶ,pendiente,
γενεαῖς,pendiente,
γενεσίοις,pendiente,
γενετῆς,pendiente,
γενεὰ,pendiente,
γενεὰν,pendiente,
γενεὰς,pendiente,
γενεᾶς,pendiente,
γενεᾷ,pendiente,
γενεῶν,pendiente,
γενηθέντας,pendiente,
γενηθέντες,pendiente,
γενηθέντων,pendiente,
γενηθήτω,pendiente,
γενηθῆναι,pendiente,
γενηθῶμεν,pendiente,
γενησόμενον,pendiente,
γεννήματα,pendiente,
γεννήσαντα,pendiente,
γεννήσει,pendiente,
γεννήσῃ,pendiente,
γεννηθέντος,pendiente,
γεννηθέντων,pendiente,
γεννηθεὶς,pendiente,
γεννηθὲν,pendiente,
γεννηθῆναι,pendiente,
γεννηθῇ,pendiente,
γεννησαρέτ,pendiente,
γεννησαρὲτ,pendiente,
γεννητοῖς,pendiente,
γεννώμενον,pendiente,
γεννᾶται,pendiente,
γεννῶσα,pendiente,
γεννῶσιν,pendiente,
γενομένην,pendiente,
γενομένης,pendiente,
γενομένοις,pendiente,
γενομένου,pendiente,
γενομένων,pendiente,
γενόμενα,pendiente,
γενόμεναι,pendiente,
γενόμενοι,pendiente,
γενόμενον,pendiente,
γενόμενος,pendiente,
γενώμεθα,pendiente,
γερασηνῶν,pendiente,
γερουσίαν,pendiente,
γευσάμενος,pendiente,
γευσαμένους,pendiente,
γεωργεῖται,pendiente,
γεωργοὶ,pendiente,
γεωργοὺς,pendiente,
γεωργοῖς,pendiente,
γεωργός,pendiente,
γεωργὸν,pendiente,
γεωργὸς,pendiente,
γεωργῶν,pendiente,
γεύσασθαι,pendiente,
γεύσεταί,pendiente,
γεύσηται,pendiente,
γεύσωνται,pendiente,
γεύσῃ,pendiente,
γεώργιον,pendiente,
γηράσκον,pendiente,
γηράσῃς,pendiente,
γινέσθω,pendiente,
γινομένας,pendiente,
γινομένη,pendiente,
γινομένης,pendiente,
γινομένοις,pendiente,
γινομένου,pendiente,
γινομένων,pendiente,
γινομένῃ,pendiente,
γινωσκέτω,pendiente,
γινωσκομένη,pendiente,
γινόμενα,pendiente,
γινόμεναι,pendiente,
γινόμενοι,pendiente,
γινόμενον,pendiente,
γινώμεθα,pendiente,
γινώσκει,pendiente,
γινώσκειν,pendiente,
γινώσκεις,pendiente,
γινώσκεται,pendiente,
γινώσκετε,pendiente,
γινώσκητε,pendiente,
γινώσκομεν,pendiente,
γινώσκοντες,pendiente,
γινώσκουσίν,pendiente,
γινώσκουσιν,pendiente,
γινώσκω,pendiente,
γινώσκωμεν,pendiente,
γινώσκων,pendiente,
γινώσκωσιν,pendiente,
γινώσκῃ,pendiente,
γλεύκους,pendiente,
γλυκὺ,pendiente,
γλωσσόκομον,pendiente,
γλωσσῶν,pendiente,
γλώσσαις,pendiente,
γλώσσας,pendiente,
γλώσσης,pendiente,
γλώσσῃ,pendiente,
γλῶσσά,pendiente,
γλῶσσάν,pendiente,
γλῶσσα,pendiente,
γλῶσσαι,pendiente,
γλῶσσαν,pendiente,
γνήσιε,pendiente,
γνήσιον,pendiente,
γναφεὺς,pendiente,
γνησίως,pendiente,
γνησίῳ,pendiente,
γνούς,pendiente,
γνοὺς,pendiente,
γνοῖ,pendiente,
γνωρίζομεν,pendiente,
γνωρίζω,pendiente,
γνωρίσαι,pendiente,
γνωρίσας,pendiente,
γνωρίσει,pendiente,
γνωρίσουσιν,pendiente,
γνωρίσω,pendiente,
γνωρίσῃ,pendiente,
γνωριζέσθω,pendiente,
γνωρισθέντος,pendiente,
γνωρισθῇ,pendiente,
γνωσθέντες,pendiente,
γνωσθήσεται,pendiente,
γνωσθήτω,pendiente,
γνωσθῇ,pendiente,
γνωστοὶ,pendiente,
γνωστοῖς,pendiente,
γνωστὰ,pendiente,
γνωστὸν,pendiente,
γνωστὸς,pendiente,
γνωσόμεθα,pendiente,
γνόντα,pendiente,
γνόντες,pendiente,
γνόφῳ,pendiente,
γνώμην,pendiente,
γνώμης,pendiente,
γνώμῃ,pendiente,
γνώσει,pendiente,
γνώσεσθε,pendiente,
γνώσεται,pendiente,
γνώσεως,pendiente,
γνώσομαι,pendiente,
γνώσονται,pendiente,
γνώστην,pendiente,
γνώσῃ,pendiente,
γνώτω,pendiente,
γνῶ,pendiente,
γνῶθι,pendiente,
γνῶναί,pendiente,
γνῶναι,pendiente,
γνῶσιν,pendiente,
γνῶσις,pendiente,
γνῶτε,pendiente,
γνῷ,pendiente,
γνῷς,pendiente,
γογγυσμοῦ,pendiente,
γογγυσμὸς,pendiente,
γογγυσμῶν,pendiente,
γογγυσταὶ,pendiente,
γογγύζετε,pendiente,
γογγύζοντος,pendiente,
γογγύζουσιν,pendiente,
γολγοθα,pendiente,
γολγοθᾶ,pendiente,
γολγοθᾶν,pendiente,
γομόρρας,pendiente,
γομόρρων,pendiente,
γονέων,pendiente,
γονεῖς,pendiente,
γονεῦσιν,pendiente,
γονυπετήσαντες,pendiente,
γονυπετήσας,pendiente,
γονυπετῶν,pendiente,
γράμμα,pendiente,
γράμμασιν,pendiente,
γράμματα,pendiente,
γράμματι,pendiente,
γράμματος,pendiente,
γράφε,pendiente,
γράφει,pendiente,
γράφειν,pendiente,
γράφεσθαι,pendiente,
γράφηται,pendiente,
γράφομεν,pendiente,
γράφω,pendiente,
γράφων,pendiente,
γράψαι,pendiente,
γράψαντες,pendiente,
γράψας,pendiente,
γράψον,pendiente,
γράψω,pendiente,
γράψῃς,pendiente,
γραμματέων,pendiente,
γραμματεύς,pendiente,
